Brand,Rating,Processor,Display,OS,RAMSize,RAMType,Storage_HDD,Storage_SSD,MRP
ASUS,4.3,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR5 ,0,1000,196990.0
realme,4.4,Intel Evo Core i5 ProcessorIntel Core i5 Processor,35.56,Windows,8,DDR4 ,0,512,59990.0
Infinix,4.8,Intel Core i7 Processor,39.62,Windows,16,LPDDR4X ,0,512,52990.0
APPLE,4.7,Apple M1 Processor,33.78,Mac,16,DDR4 ,0,512,124990.0
ASUS,4.6,AMD Ryzen 7 Octa Core Processor,39.62,Windows,16,DDR4 ,0,1000,85990.0
RedmiBook,4.2,Intel Core i3 Processor,39.62,Windows,8,DDR4 ,0,256,31990.0
acer,4.3,AMD Ryzen 5 Hexa Core Processor,39.62,Windows,16,DDR4 ,0,512,66990.0
DELL,5.0,AMD Ryzen 7 Octa Core Processor,39.62,Windows,16,DDR4 ,0,512,89081.0
Lenovo,4.2,Intel Core i3 Processor,35.56,Windows,8,DDR4 ,0,256,36990.0
APPLE,4.7,Apple M1 Processor,33.78,Mac,8,DDR4 ,0,512,104990.0
Lenovo,4.2,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,0,512,53490.0
ASUS,4.5,Intel Core i3 Processor,35.56,Windows,8,LPDDR4X ,0,256,45990.0
Lenovo,4.2,Intel Core i3 Processor,39.62,Windows,8,DDR4 ,0,512,39990.0
ASUS,4.5,Intel Core i3 Processor,39.62,Windows,8,DDR4 ,0,512,45990.0
MSI,4.4,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,0,512,51990.0
HP,4.3,AMD Ryzen 7 Octa Core Processor,39.62,Windows,16,DDR4 ,0,512,75990.0
RedmiBook,4.1,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,0,512,39990.0
Lenovo,4.2,Intel Core i3 Processor,39.62,Windows,8,DDR4 ,0,256,36990.0
HP,3.7,Intel Core i5 Processor,35.56,Windows,16,DDR4 ,0,512,78800.0
HP,4.2,AMD Athlon Dual Core Processor,39.62,Windows,8,DDR4 ,0,512,29390.0
Lenovo,4.2,AMD Ryzen 5 Quad Core Processor,39.62,Windows,8,DDR4 ,0,512,38705.0
Infinix,4.3,Intel Core i3 Processor,35.56,Windows,8,LPDDR4X ,0,256,30990.0
Lenovo,4.1,Intel Core i5 Processor,39.62,Windows,16,DDR4 ,0,512,62490.0
ASUS,3.8,Intel Core i7 Processor,35.56,Windows,16,DDR4 ,0,512,89990.0
ASUS,4.3,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR5 ,0,1000,196990.0
HP,4.1,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,0,512,58899.0
MSI,4.5,Intel Core i5 Processor,39.62,Windows,16,DDR4 ,0,512,85990.0
ASUS,4.6,AMD Ryzen 7 Octa Core Processor,39.62,Windows,16,DDR4 ,0,1000,85990.0
Lenovo,4.5,AMD Ryzen 7 Octa Core Processor,39.62,Windows,8,DDR4 ,0,512,73490.0
Lenovo,4.3,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,1000,256,63490.0
Lenovo,4.2,Intel Core i3 Processor,35.56,Windows,8,DDR4 ,0,256,36990.0
Lenovo,4.2,Intel Core i3 Processor,39.62,Windows,8,DDR4 ,0,512,39990.0
ASUS,4.2,AMD Ryzen 5 Quad Core Processor,35.56,Windows,8,DDR4 ,0,512,38990.0
HP,4.3,Intel Core i5 Processor,40.89,Windows,8,DDR4 ,0,512,67990.0
RedmiBook,4.1,Intel Core i5 Processor,39.62,Windows,8,DDR4 ,0,512,39990.0
ASUS,4.3,AMD Ryzen 9 Octa Core Processor,39.62,Windows,16,DDR5 ,0,1000,196990.0
HP,4.2,Intel Core i3 Processor,39.62,Windows,8,DDR4 ,0,512,39790.0
APPLE,4.8,Apple M1 Pro Processor,41.15,Mac,16,Unified Memory ,0,1000,241990.0
APPLE,4.6,Apple M1 Processor,33.78,Mac,8,DDR4 ,0,512,104990.0
DELL,4.1,AMD Ryzen 3 Dual Core Processor,35.56,Windows,8,DDR4 ,0,512,42190.0
Lenovo,4.2,AMD Ryzen 5 Quad Core Processor,39.62,Windows,8,DDR4 ,0,512,38705.0
ASUS,4.6,AMD Ryzen 7 Octa Core Processor,39.62,Windows,16,DDR4 ,0,1000,85990.0
